# Exult Usecode Dialogue Translation Dictionary
# English source<TAB>Chinese translation
# Generated: 2026-06-17 10:30:00
# Entries: 11391
#
# To deploy: Copy this file to your Exult <PATCH>/ directory
# as 'usecode_translations.txt'.
#
# Lines starting with '#' are comments.
# Format: English source text<tab>Chinese translation text
============================================================

! And good luck to thee!"*	「祝你好運！」*
! Fly from this place at once! I shall provide escort for thee with my bow. Return at thy peril,	「快離開這裡！我會用我的弓護送你離開。再回來就要冒險了！」
! Help me!!"	「幫幫我！！」
! However, thou mayest have some trouble convincing those who do not know thy face.~~"Of course, thou -shouldst- be safe around thy friends!"	「但是，你可能會遇到一些麻煩，因為有些人不認識你。」~~「當然，你應該在朋友身邊很安全！」
! I admit I do sell Silver Serpent Venom to other places besides the Apothecary. But what I am doing is not -precisely- against the law!"	「我承認，我賣銀蛇毒給其他地方的藥劑師。但是，我做的事情不是完全違法！」
! I earn my gold with this sword arm," he says as he flexes a mighty bicep. "Right now I am in Jhelom continuing my studies in my trade with De Snel, and when I am finished my price is going to go up!"	「我靠這把劍來賺取金幣，」他說，同時展示他的強壯手臂。「現在，我在傑洛姆繼續我的學徒生涯，當我完成後，我的價格就會上漲！」
! I shall never miss New Magincia!"	「我永遠不會錯過新馬吉尼亞！」
! I would wager that thou dost say that to all the barmaids!"	「我想，你對所有的酒吧女服務員都這麼說！」
! If I did not trust the infallibility of mine own eyes, I would not believe it! I was just thinking to myself, 'If only the Avatar were here!' Then...~~"Lo and behold! Who says that magic is dying! Here is living proof that it is not!~~ "Dost thou realize,	「如果我不相信自己的眼睛，我就不會相信！我剛剛在想，『如果只有阿凡達在這裡！』然後……~~「看哪！誰說魔法正在消失！這裡就是活生生的證據！」~~「你知道嗎，」他說，「如果不是你，我就會迷失了。」
! If not for thee, I would be lost."	「如果不是你，我就會迷失了。」
! If thou wilt leave something behind, mayhaps thou wilt be able to sail, and I will be glad, indeed, to sell thee the deed."~Gargan sneezes.	「如果你願意留下什麼東西，可能你就能夠航行，我會很高興地賣給你這份契約。」~加爾根打了個噴嚏。
! It is hearsay!"*	「這只是傳聞！」*
! Mine husband was pardoned by Lord British. He even provided Weston with short-term employment so that he may return to me with money enough in his pockets to feed us for some time!~~"Excellent news, no?"	! 我的丈夫被布列塔尼亞王赦免了，他甚至提供了韋斯頓短期的工作機會，這樣他就可以帶著足夠的錢回來養活我們一段時間！~~"這是個好消息，不是嗎？"
! Perhaps honesty shall lift thee above the	! 也許誠實會讓你脫離貧困
! That means I owe thee	! 這意味著我欠你
! The box is open! Certainly, one as diligent as thee could not have been robbed?"	! 盒子打開了！你這麼勤奮的人不可能被搶劫吧？"
! Thou	! 你
! Thou didst just enjoy thyself, didst thou not? Please come back when thou art rested!"*	! 你只是在享受自己吧？請休息一下再回來吧！"*
! Thy soul shall wail in the catacombs of the netherworld!"	! 你的靈魂將在陰間的墓穴中哀號！"
! Who knows what evil this strange creature might possess!" He inspects the sprite more closely. "Mayhaps I should try it first to be sure it is safe..."*	! 誰知道這個奇怪的生物可能會帶來什麼邪惡！" 他仔細檢查精靈。 "也許我應該先試試看，以確保它是安全的..."*
! You damn	! 你這個該死的
! You have nothing to lose but your	! 你沒有什麼可失去的，只有你的
!" Katrina greets you with a smile.	!" 卡特琳娜帶著微笑迎接你。
!" Nastassia says.	!" 納斯塔西婭說。
!" Sherry the Mouse exclaims.	!" 謝里老鼠驚呼。
!" says a wide-eyed Constance, "What may I do for thee?"	!" 一個目瞪口呆的康斯坦斯說，"我可以為你做什麼？"
"'Bye!"*	!"別了！"*
"I do not think that is correct."*	"我不認為這是正確的。"*
"I do not trust The Fellowship, and most especially	"我不信任ellowship，尤其是"
"I do not understand what is wrong. My magic does not work so well anymore."	"我不明白什麼地方出了問題。我的魔法現在不太管用了。"
"I do not want any mercy for myself. I have admitted my guilt. But my life does not only belong to myself. It belongs to my wife and family as well. Without me they will suffer unbearable hardships, such as they might not survive."	"我不想要任何憐憫。我的生命不僅屬於我自己，也屬於我的妻子和家人。如果沒有我，他們會遭受難以忍受的困難，甚至可能無法生存。"
"I do not want to join them, but they seem all right."	"我不想加入他們，但他們似乎沒什麼問題。"
"I do not wish to bemoan my fate, but my family lives in Paws -- my wife Alina and my child Cassie. They were starving and I came to Britain to get food for them."	"我不想抱怨我的命運，但我的家人住在 Paws -- 我的妻子 Alina 和我的孩子 Cassie。他們正在挨餓，我來到 Britain 為他們弄到食物。"
"I do not wish to hear of that locket ever again! Do not speak to me of it!"	"我不想再聽到那個掛墜的事！不要跟我提起它！"
"I do suppose my ventures are profitable enough for me to afford to move to Britain, but things are so much less expensive here. Of course, the theft has me a bit wary.~~"If thou dost wish to know more about the people here, speak to the couple who run the Fellowship shelter, Feridwyn and Brita."	"我想我的冒險足夠成功，讓我能夠搬到 Britain，但這裡的東西太貴了。當然，最近的盜竊讓我有些擔心。~~"如果你想知道更多關於這裡的人，去跟 Fellowship 收容所的夫妻 Feridwyn 和 Brita 說話。"
"I do the bookkeeping at the Fellowship Branch. I work with mine husband, Klog."	"我在 Fellowship 分部負責記帳。我和我的丈夫 Klog 一起工作。"
"I do what he does." Owings jerks his thumb towards Malloy digging away next to him. The fat man is trying to chisel through the rock wall using only a spoon. Owings's thumb hits him in the back.	"我做他做的事情。" Owings 用他的拇指指向 Malloy，在他旁邊挖掘。胖子正在試圖用湯匙挖穿岩石牆。Owings 的拇指打在他的背上。
"I don't believe I wish to tell thee."	"我不想告訴你。"
"I don't know what it was about. Perhaps thou shouldst ask Klog."	"我不知道它是什麼。也許你應該問 Klog。"
"I don't trust them any more than thou dost,	"我不相信我想告訴你。"
"I doubt but thou deceivest me further. If true, thou dost shame the title. Admit now thy true name!"	"我懷疑你再次欺騙我。如果是真的，你會羞辱這個頭銜。現在承認你的真實名字！"
"I doubt he has ever held a sword in his life. When I bet I usually bet on the underdog, but not even I am so foolhardy with my money as to bet on him. The man is no fighter, he is the innkeeper!"	"我懷疑他曾經拿過劍。他是個酒館老闆，不是戰士！我通常會押注在輸家身上，但即使我也不會用我的錢押注在他身上。"
"I doubt he would believe even his own death, let alone care."	"我懷疑他會相信自己的死亡，更不用說關心。"
"I doubt that anyone in our community is the killer. If the stranger, or strangers, involved were to remain for long after the crime, they would soon be revealed. Therefore,the killers are no longer in town."	"我懷疑我們社區裡有人是殺人兇手。如果兇手留在鎮上太久，他們很快就會被揭露。因此，兇手已經離開鎮上了。"
"I enjoy travelling with	"我喜歡和 ["
"I enjoyed that!" Sentri exclaims after it is all over.*	"我喜歡這個！" Sentri 在一切結束後說。*
"I ensure that time flows smoothly through space." He shrugs his shoulders. "Do not ask me to explain this. It is beyond mortal beings' comprehension."	"我確保時間在空間中流暢地運行。" 他聳聳肩。 "別問我這是如何做到的，這超出了凡人的理解範圍。"
"I expected as much. Thou art truly an honorable warrior."	"我早就料到了。你確實是一個真正的榮譽戰士。"
"I fashion my arrows from the stingers of giant bees. With them one may put a foe to sleep."	"我用巨蜂的螫針製造箭矢。用這些箭矢可以讓敵人入睡。"
"I fear an end to my family craft, where the show is run by human heart,~"But bones do age, not so machines, and we cannot simply replace a part.~"I carry on as best I can, A machine to play my father's role,~"Control the marionettes unseen, struggling to imbue them with a soul."	"我擔心家族的手藝會走向終結，表演由人類的心臟掌控，~"但骨骼會老化，而機器卻不會，我們不能簡單地更換零件。~"我盡力繼續下去，作為一台機器來扮演父親的角色，~"控制看不見的木偶，努力賦予它們靈魂。"
"I fear something is amiss, master." The daemon sounds almost worried.	"我擔心有些事情不對勁，主人。" 魔鬼的聲音幾乎帶著擔憂。
"I fear that this stranger was not who he claimed to be at all. I was a victim of a great and terrible deception that was perpetrated upon me."	"我擔心這個陌生人根本不是他聲稱的那個人。我是受到了偉大而可怕的欺騙的受害者。"
"I fear they will stage an uprising. I know Auston holds the same thoughts, for very recently he approached me and asked for my guidance to prepare for just such an incident. I will warn thee just as I warned him. Always remember,	"我擔心他們會發動起義。我知道奧斯頓也持有相同的想法，因為最近他就來找我，請求我的指導以準備這種情況。我會警告你，就像我警告他一樣。永遠記住，
"I fear we have grievously miscalculated by thinking that if we boycotted the statue, it would not be built. It seems all the talk of it has made Owen into some sort of bizarre legend around this area, and the bloody statue hasn't even gone up yet! But that, I fear, is not the worst of the situation."	"我擔心我們錯誤地認為，如果我們抵制這座雕像，它就不會被建造。看來所有關於它的話題都把奧文變成了這個地區的一種奇怪的傳奇，而該雕像甚至還沒有豎立起來！但我擔心，這還不是最糟糕的情況。"
"I feel a bit sorry that we never did intercede on behalf of that innkeeper fellow, Sprellic. He did need our help, desperately." Dupre eyes look a bit sad.	"我感到有些遺憾，我們從未幫助過那個旅店老闆斯普雷利克。他真的需要我們的幫助，非常需要。" 杜普雷的眼睛看起來有些悲傷。
"I feel as if a great weight has been lifted from me. I cannot thank thee enough for what thou hast done. However, we will not be free of the Liche's power until the Well of Souls has been destroyed."	"我感到一種巨大的重擔從我身上卸下了。我無法感謝你為我做的一切。但是，我們不會擺脫巫妖的力量，直到靈魂之井被毀滅。"
"I feel bad about the things I said now that she is gone. Too bad she was killed in that bar fight."	"我現在對我說過的話感到抱歉，現在她走了。很可惜她在酒吧打架中被殺了。"
"I feel more at home on the farm growing vegetables. There is another farmer named Mack who works a farm near Britain as well. He raises chickens."	"我覺得在農場種植蔬菜更自在。還有一個農民叫麥克，他在不遠處的布里坦尼亞也有農場，他飼養雞。"
"I feel much better. The damaged ethereal waves are not striking my mind. But now we must destroy what is causing this problem!"	"我現在感覺好多了。受損的以太波不再擊中我的心智。但是現在我們必須摧毀造成這個問題的東西！"
"I feel that the ether is flowing smoothly now. Magic is alive again!"	"我覺得以太現在流暢地運行著。魔法又活了！"
"I felt the passing of the remains of Exodus from this realm. It has lifted a great weight from my shoulders. And so Avatar, I cannot let this accomplishment go unrewarded. Please kneel, my friend." Lord British holds out his hands as you obey his command.	"我感受到埃克索達斯的遺骸離開這個世界的時刻。這從我的肩膀上卸下了一個巨大的重擔。因此，阿凡達，我不能讓這個成就不受獎勵。請跪下，我的朋友。" 羅德英國人伸出手，當你服從他的命令時。
"I found the bodies first thing this morning when I went to open the sawmill. It took all of the discipline I have gained from the Triad of Inner Strength and the teachings of The Fellowship to keep from going mad at the sight of it. It must have happened sometime last night but I swear to thee I never heard a thing!"	"我今天早上去開啟鋸木廠時發現了屍體。要不是我從三原則和ellowship的教導中獲得的自我控制力，我早就瘋了。這一定發生在昨晚，但我發誓我什麼也沒聽見！"
"I found the wreckage. Three men were clinging to it for their lives."	"我發現了殘骸。三個人正抓著它拼命求生。"
"I go now to rest, but I shall return. The door will not open until thou hast found a way to best me for good and for all. Farewell, little mortal.*	"我現在去休息，但我會回來。直到你找到方法徹底擊敗我之前，這扇門是不會打開的。再見，小小的凡人。*"
"I good hunter. Catch many things."	"我是個好獵人。抓到了很多東西。"
"I got another one!" he says gleefully. "Thou must speak with my father right away!"	"我又抓到一個了！" 他高興地說。"你必須馬上和我父親說話！"
"I greet thee once again, Avatar," says Lasher, the unicorn.	"我再次向你問好，Avatar。" Lasher，獨角獸說。
"I grow a few crops. Especially carrots and wheat."	"我種了一些作物。尤其是胡蘿蔔和小麥。"
"I grow all of the flowers that I sell in a greenhouse which is also mine home. I sell a lot of red roses but I have many varieties. If thou art interested in buying some, please say so!"	"我在一個溫室裡種了所有我要賣的花朵，那也是我的家。我的紅玫瑰賣得很好，但我有很多品種。如果你有興趣買一些，請說吧！"
"I had always felt like I had a sister somewhere. But I attributed those feelings to the natural loneliness a child feels upon losing a father. Learning about each other has been the only good thing that has happened to me since father's death."	"我一直覺得我在哪裡有一個姐姐。但我把那些感覺歸咎於失去父親的孩子的自然孤獨感。了解彼此是自從父親去世後唯一好的事情。"
"I had gotten word that thou wert coming to our town. I have been expecting thee. I must admit, though, that I find it difficult to believe that thou art truly the Avatar."	"我聽說你要來我們的城鎮。我一直在等你。雖然我不得不承認，我很難相信你真的是Avatar。"
"I had heard of this man Sprellic who claims he is a greater fighter than any in the Library of Scars and how he had stolen the honor flag from their wall. So I sought this man out and challenged him to a duel myself."	"我聽說這個叫Sprellic的人，他聲稱自己是比圖書館的傷疤中任何人都更偉大的戰士，並且他從牆上偷走了榮譽旗幟。所以我找到了這個人並向他挑戰決鬥。"
"I had heard thou were travelling in Britannia again, but it took mine own eyes to believe it! Welcome, Avatar!"	"我聽說你又在布利塔尼亞旅行了，但我需要用自己的眼睛來相信！歡迎，Avatar！"
"I had lost all enthusiasm for life before I joined The Fellowship," says Candice.*	"我加入ellowship之前，我對生活已經失去了熱情。" Candice說。*
"I had never seen a ship like it before. The markings show it was constructed by a Minoc shipwright named Owen. It was not very well constructed."	"我以前從未見過這樣的船。標誌顯示它是由Minoc的造船工人Owen建造的。它的建造並不很好。"
"I had offered to buy them first, but Figg, the caretaker of the orchard, set an exorbitant price which I am certain he would have pocketed for himself. So, yes, I admit to stealing them."	"我曾經提出要買它們，但果園的看守人Figg定了個高得離譜的價格，我確定他會把它們裝進自己的口袋。所以，是的，我承認我偷了它們。"
"I have a book here that Adjhar said told about... our... creation. This might help bring Adjhar back."	"我有本書，Adjhar 說這本書講的是... 我們的... 創造。這可能有助於讓 Adjhar 回來。"
"I have a book here that Adjhar said told about... our... creation. This might help bring him back."	"我有本書，Adjhar 說這本書講的是... 我們的... 創造。這可能有助於讓他回來。"
"I have a feeling that we shall see each other again."*	"我有種感覺，我們將會再次見面。"*
"I have a lute for sale that once belonged to a travelling bard who lost it in a game of dice. I am asking twenty gold coins for it. A song! Wouldst thou like to buy it?"	"我有一把曾經屬於一名流浪吟遊詩人的琵琶，我想賣給你。這把琵琶是他在一場骰子遊戲中輸掉的。我要價二十枚金幣。一首歌！你想買嗎？"
"I have a notarized contract with the Britannian Mining Company. They use it to keep their gargoyles working longer hours. It seems gargoyles have a greater resistance to the effects of Silver Serpent Venom. Poor devils." He grins maliciously at his own joke.	"我有一份與不列顛礦業公司的合約，他們用這份合約來讓石像鬼工作更長的時間。石像鬼似乎對銀蛇毒的影響有更強的抵抗力。可憐的傢伙們。" 他對自己的笑話惡意地笑了笑。
"I have a sextant that was sold by the world-famous shipwright Owen of Minoc. They are going to be building a monument to him, I understand. Anyway, the sailor who sold it to me had just suffered some harrowing experience out on the waters. He said when he sold it to me that he was going to retire. He obviously did not realize the value of this item. But I can let thee have it for twenty gold pieces. Dost thou wish to buy it?"	"我有一個曾經由世界著名的造船師 Minoc 的 Owen 賣出的六分儀。他們將要為他建立一座紀念碑，我聽說。無論如何，這位將它賣給我的水手剛剛經歷了一些可怕的經驗。他賣給我的時候說他要退休。他顯然不知道這個物品的價值。但我可以以二十枚金幣的價格賣給你。你想買嗎？"
"I have aged a bit over the last 200 years. I am afraid I shall not be joining thee this time. But my thoughts are with thee, and if I may offer some assistance, I shall be glad to do so."	"我已經老了兩百年了，我恐怕這次不能加入你。但我的心思與你在一起，如果我可以提供一些幫助，我將很高興地這樣做。"
"I have already heard that some of my fellow residents have had things stolen by those wretched creatures."	"我已經聽說我的一些同居者被那些可惡的生物偷走了東西。"
"I have also focused a magical crystal to the entrance of the Castle of Fire which I refurbished after thy battle with Exodus. Here, take it. Perhaps it will give thee some insight. Although, be warned, it is not at all stable and might be prone to shatter the nearer thou findest thyself to the location to which it is tuned."	"我也將一顆魔法水晶調整到火焰城堡的入口，我在你與埃克索達斯戰鬥後重新裝修了這座城堡。這裡，拿去吧。也許這會給你一些啟發。雖然，請注意，這不是很穩定，可能會在你靠近它所調整的位置時破碎。"
"I have always been called Spark."	"我一直被稱為 Spark。"
"I have amused thee so far! Wouldst thou like to hear another? It is a joke about gold!"	"我一直逗你笑！你想聽另一個嗎？這是一個關於金幣的笑話！"
"I have an assortment of very lethal weapons to show thee."	"我有一系列非常致命的武器要展示給你。"
"I have been a member of The Fellowship for only a short time. I have only of late begun attending Elynor's meetings. Only since they announced the monument was to be built."	"我只是一個短時間的 The Fellowship 成員。我只在最近才開始參加 Elynor 的會議。只在他們宣布要建造紀念碑之後。"
"I have been all over Britannia,	"我走遍了不列顛，"
"I have been around for many, many years. And," he smiles, "I have seen many, many things in that time."	"我活了很多很多年。" 他微笑著，"我在這段時間裡看到了很多很多事情。"
"I have been having a difficult time lately trying to speak to Elynor. It seems that she has no time for me. Back when I was making preparations for the monument she was always stopping by and willing to have words with me."	"我最近一直很難跟艾琳諾說話，她似乎沒有時間理我。回想起我在準備紀念碑的時候，她總是來拜訪，願意跟我聊天。"
"I have been looking every night for another sign of those things but I have not seen any since that last time I told thee about it."	"我每晚都在尋找那些東西的蹤跡，但自從上次告訴你的那次之後，我就再也沒有看到任何跡象。"
"I have been looking forward to thine arrival, Avatar. Word spreads quickly. I am pleased to meet thee!"	"我一直期待你的到來，消息傳播很快。我很高興能夠見到你，阿凡達!"
"I have been playing panpipes since I was little. I'm pretty good now, if I say so myself! I keep the whistle by my bed and practice every night before going to sleep!"	"我從小就開始吹奏豎笛，現在我吹得很好了！我把笛子放在床邊，每晚睡覺前都會練習。"
"I have been rejected by the woman I love."	"我被我所愛的女人拒絕了。"
"I have been the Cove Healer for some time now, and can provide thee with mine healing services. Since magic is not reliable, I have been yearning to join a party of adventurers, such as mine old friends. I miss the old life!"	"我一直是海灣的治療師，可以提供我的治療服務。由於魔法不可靠，我一直渴望加入冒險者的隊伍，就像我的老朋友們一樣。我懷念過去的生活！"
"I have been working here since it opened. I love it. I am not exploited in the least. I make piles of gold and live a great life."	"我從這裡開張就一直工作，我很喜歡這裡。我沒有被剝削，我賺了很多金幣，過著很好的生活。"
"I have devoted mine entire life to this, nothing will get in my way, not even Batlin."	"我已經把我的整個生命都奉獻給這個目標，什麼也不能阻止我，甚至是巴特林。"
"I have even written a book describing the advances I have made in the methods of ship-building. It is very advanced but I have tried to write it so that it is accessible to the layman. Wouldst thou be interested in purchasing a copy?"	"我甚至寫了一本書，描述我在造船方法上的進步。這本書很先進，但我試圖寫得讓普通人也能理解。你想買一本嗎？"
"I have found it to be quite a treasure trove of useful facts. Its sole purpose seems to be the storage of information.	"我發現這是一個充滿有用事實的寶庫。它的唯一目的是儲存資訊。"
"I have found many odd artifacts. Many of the things thou hast seen in The Music Hall and the Lycaeum have been brought to them by me."	"我發現了很多奇怪的遺物。音樂廳和萊西姆的許多東西都是我帶給他們的。"
"I have heard nothing more of the Crown Jewel since we last spoke of it,	"自從我們上次談論皇冠寶石的時候，我就再也沒有聽到任何消息，"
"I have heard nothing more of the Crown Jewel since we last spoke of it."	"自從我們上次談論皇冠寶石的時候，我就再也沒有聽到任何消息，"
"I have heard nothing more of this man Hook since we last spoke of him,	"自從我們上次談論這個叫胡克的人的時候，我就再也沒有聽到任何消息，"
"I have heard nothing more of this man Hook since we last spoke of him."	"自從我們上次談論這個叫胡克的人的時候，我就再也沒有聽到任何消息，"
"I have heard of thee, Avatar. Thou hast come into conflict against our kind before, I know. But I have also heard the tales of thine heroic and spiritual quests and I believe thee to be a just and noble man. Thou mayest call me friend."	"我聽說過你，Avatar。 你以前曾與我們的同類衝突，我知道。但我也聽說過你英勇和精神的任務，我相信你是一個公正和高尚的人。你可以稱呼我為朋友。"
"I have heard that rot about it all being a misunderstanding. The only thing misunderstood is how bad Sprellic will look when we finish with him!"	"我聽說過那種誤會的說法。唯一被誤解的是我們如何對待Sprellic的樣子！"
"I have heard that some of Morfin's venom hath been stolen. I cannot imagine who would do it, unless it was that brat that lives with the farmer widow."	"我聽說有人偷走了莫芬的毒液。我無法想像誰會做這種事，除非是那個住在農民寡婦家的孩子。"
"I have heard that thou art the Avatar. I am not certain that I believe it.	"我聽說你是Avatar。 我不確定我相信這件事。"
"I have heard that thou didst kill several of our members while champion of a duel defending the thief of our honor flag." His eyes narrow as he stares at you intensely. "Outstanding! I am a man who values nothing higher than the application of skill. I salute thee on thy victory. Perhaps thou wouldst like to join our group?"	"我聽說你曾在決鬥中殺死了我們的幾個成員，為竊取我們榮譽旗幟的竊賊辯護。" 他緊緊地盯著你，眼睛眯起來。 "太棒了！我是一個重視技巧應用的人。我向你致敬你的勝利。也許你想加入我們的團體？"
"I have heard the rumors of an island, but I know nothing else about it, I am afraid. Thou mightest wish to speak with Jillian -- she should know a little about the area."	"我聽說過有一個島嶼，但我不知道更多關於它的任何事。我想你可能想與Jillian談談，她應該對該地區有一些了解。"
"I have hunted them on many occasions, for I use their poison on my arrows. And I like their honey. Perhaps together we might journey into the cave for some?"	"我曾經多次狩獵過它們，因為我在箭上使用它們的毒液。 我也喜歡它們的蜂蜜。也許我們可以一起前往洞穴尋找一些？"
"I have it upstairs, of course. Thou art welcome to use it as often as thou wishest. In fact, I also have an orrery, shouldst thou desire to see that as well."	"我把它放在樓上，當然。你可以隨時使用它。事實上，我還有一個天文儀，你也可以看看。"
"I have just told thee all that thou dost need to follow the Triad Of Inner Strength. The lessons are simple. The true measure of thine understanding comes in how absolutely thou wilt apply them to thy life. Thou now knowest all thou wilt ever need. Thou dost not need the arcane knowledge of the dying art of magic. Thou dost not need the unsure hand of the healer and his limited knowledge. All that thou wilt ever need is to continuously seek out the best in thyself and to live amongst those that would do the same. Only then art thou truly walking with The Fellowship.	"我剛才告訴你了所有你需要知道的內在力量三原則的東西。這些教導很簡單。你真正理解的程度取決於你如何完全地將它們應用到你的生活中。你現在知道你需要知道的所有東西。你不需要魔法這種衰亡藝術的神秘知識。你不需要治療師及其有限知識的不確定之手。你需要的所有東西就是不斷地尋找你自己最好的部分，並與那些願意做同樣事情的人生活在一起。只有這樣，你才真正地與The Fellowship一起行走。"
"I have known Owen as long as anyone in this town. Several years ago, three ships that he built sank. The brother of Karl, one of our more colorful local residents, was killed. No investigation was ever made into the cause of the sinkings, but Owen once confided to me that he secretly blamed himself. He started drinking heavily, and eventually took up with The Fellowship."	"我認識Owen已經很久了。幾年前，他建造的三艘船沉沒了。卡爾的兄弟，一個我們當地的居民，被殺害了。從未有任何調查過沉船的原因，但Owen曾經私下裡告訴我，他秘密地責怪自己。他開始大量地喝酒，最後加入了The Fellowship。"
"I have little time for this," she sighs. "I know only the Lycaeum head and his twin, Brion, at all well. The trainer also studies here in the Lycaeum." She looks up at the ceiling, as if reading from an invisible, overhead list.~~"Thou dost already know about Penumbra. Mariah is here. If thou wishest to know about a member of The Fellowship, ask the clerk there. Otherwise," she eyes you coldly, "let me return to my duties." As an afterthought, she adds, "And keep thy voice down. People are trying to read."	"我沒有時間浪費在這上面，"她嘆息著。 "我只知道Lycaeum的負責人和他的雙胞胎兄弟Brion。訓練師也在Lycaeum學習。"她抬頭看著天花板，好像在讀一份不存在的清單。 ~~"你已經知道Penumbra了。Mariah在這裡。如果你想知道The Fellowship的成員，請問那裡的職員。否則，"她冷冷地看著你，"讓我回到我的工作吧。"作為附帶，她補充道，"並且保持你的聲音小聲。有人正在嘗試閱讀。"
"I have lived here all of my life and have never known anyplace else. It is a basically a very nice place where people still adhere to the old ways and values. The rest of the world must think it has passed us by, but it is they who have lost what once was."	"我一生都住在這裡，從未知道過任何其他地方。這是一個基本上很好的地方，人們仍然堅持舊的方式和價值觀。世界的其他地方可能認為它已經過時，但它們才是失去了曾經擁有的東西。"
"I have lived here in Paws all my life. I will not leave it now. I shall never leave."	"我一生都住在Paws，我現在不會離開。我永遠不會離開。"
"I have loved close-quarter fighting since I was old enough to grasp my first spear. That's why I moved to Yew."	"我從小就喜歡近距離戰鬥。這就是為什麼我搬到Yew的原因。"
"I have many friends here. When I am lonely, I speak with Alagner the Sage, Russell the shipwright, or Henry the peddler."	"我在這裡有很多朋友。當我感到孤獨時，我會與Alagner the Sage、Russell船wright或Henry小販交談。"
"I have many friends in Britannia. Among them are Greg, James, Brownie and Mack."	"我在不列顛尼亞有許多朋友，其中包括 Greg、James、Brownie 和 Mack。"
"I have many more things in my shop. Many things of high quality and great value as well. Please keep looking."	"我的店裡還有許多東西。許多東西品質高，價值大。請繼續看吧。"
"I have moved my store here as a service to Lord British, who uses me exclusively to outfit all of his various expeditions. It is true!"	"我把店遷移到這裡，是為了服務布列塔尼亞的領主，他只用我來裝備他的各種遠征隊。這是真的！"
"I have never seen any myself. I have no idea what it does to someone, but it cannot possibly be good!"	"我從未親眼見過它。我不知道它會對人造成什麼影響，但肯定不是好事！"
"I have no 'job' per se. I have devoted mine energies to helping The Fellowship. I hope to recruit new members."	"我沒有固定的工作。我把精力投入到幫助『信徒』組織上。我希望能招募新的成員。"
"I have no job for I am a beggar. For a gold coin I shall tell thee a joke."	"我沒有工作，因為我是一個乞丐。只要給我一枚金幣，我就會告訴你一個笑話。"
"I have no job,	"我沒有工作，"
"I have no job. I am only fourteen, so I am just learning how to best help Father in the smithy," he says, proudly. But then he suddenly realizes something which terrifies him. "And now that Father is dead, I am an orphan!"	"我沒有工作。我只有十四歲，所以我還在學習如何幫助父親在打鐵店裡工作，" 他說，驕傲地。但是他突然意識到什麼事情，讓他感到恐懼。"現在父親死了，我是一個孤兒！"
"I have no job. I have a quest. My quest is shared with mine half-sister, Amanda."	"我沒有工作。我有個任務。我的任務與我的同父異母的妹妹 Amanda 共享。"
"I have no love for The Fellowship. We shall speak of it when I know thee better."	"我不喜歡『信徒』組織。等我更了解你時，我們再談這個。"
"I have no more left,	"我沒有更多了，"
"I have no more. For some reason, no one is sending Silverleaf to us, so I cannot make a meal from it."	"我沒有更多了。不知道為什麼，沒有人把銀葉送給我們，所以我無法用它做飯。"
"I have no occupation,	"我沒有職業，"
"I have no wife or family. I have thought about joining The Fellowship, but I refuse. I have nothing but my work, and a drink at the Salty Dog now and then."	"我沒有妻子或家人。我曾經想過加入『信徒』組織，但我拒絕了。我除了工作和偶爾去『鹽狗』喝酒之外，什麼都沒有。"
"I have none so long as I am left to rot here in this prison."	"只要我被關在這個監獄裡，我什麼都沒有。"
"I have none to sell thee,	"我沒有東西可以賣給你，"
"I have none,	"我沒有，"
"I have not been down there in many years. Has something happened there?"	"我很多年沒有下到那裡去了。 那裡發生了什麼事嗎？"
"I have not finished making mine assessment of thy fine drinking establishment!"*	"我還沒有完成對你這間酒館的評估！"*
"I have not had many dealings with him."	"我跟他沒有多少往來。"
"I have not seen Elizabeth and Abraham for many days now."	"我已經好幾天沒有見到伊麗莎白和亞伯拉罕了。"
"I have not seen Elizabeth or Abraham since they were here last."	"我自從他們上次來這裡後就沒有再見過伊麗莎白或亞伯拉罕。"
"I have not seen her in some time,	"我有一段時間沒有見過她，"
"I have not seen him recently, but the description of the murder scene certainly sounds like his handiwork!"	"我最近沒有見過他，但謀殺現場的描述確實聽起來像是他的手筆！"
"I have not seen my colleagues since they were last here. They are busy folk."	"我自從他們上次來這裡後就沒有再見過我的同事們。他們是很忙的人。"
"I have not seen or heard of Sasha since we last spoke of him. I do not know if he ever joined The Fellowship."	"我自從我們上次提到他後就沒有再見過或聽說過薩沙的消息。我不知道他是否曾加入過 The Fellowship。"
"I have not seen our liege in many years."	"我很多年沒有見過我們的領主。"
"I have not seen our old friends in some time. Currently I am conducting a study of all of the various drinking establishments of Britannia. At present I am about halfway through. But it is nothing that could keep me from adventuring with thee,	"我有一段時間沒有見過我們的老朋友們。 目前我正在研究布利塔尼亞所有的各種酒館。 目前我大約完成了一半。 但這並不會阻止我跟你一起冒險，"
"I have not seen that Fellowship couple for many, many days. I have no idea where they could be now."	"我很多天沒有見過那對 The Fellowship 的夫妻。 我不知道他們現在可能在哪裡。"
"I have not seen that one since I knighted him. Typical -- I do the man a favor and he disappears! I heard he might be in Jhelom."	"我自從封他為騎士後就沒有再見過他。 很典型——我幫了他一個忙，他就消失了！ 我聽說他可能在 Jhelom。"
"I have not seen them in quite some time."	"我已經有一段時間沒有見過他們了。"
"I have not seen them since they gave me my training session, many days ago."	"自從他們給我進行訓練課程以來，我就沒有見過他們，已經過了許多天了。"
